word,synonyms
fimmtíu og tvær,['fimmtíu og tvö hk']
fimmtíu og tvö,['fimmtíu og tveir kk']
fjörutíu og tvær,['fjörutíu og tvö hk']
fjörutíu og tvö,['fjörutíu og tveir kk']
fjörutíu og þrjár,['fjörutíu og þrjú hk']
fjörutíu og þrjú,['fjörutíu og þrír kk']
hundrað og ein,['hundrað og eitt hk']
hundrað og eitt,['hundrað og einn kk']
púls,['æðarsláttur']
gemsi,['farsími']
farsími,['gemsi']
alnæmi,['eyðni']
eyðni,['alnæmi']
einnig,"['fornt einniginn', 'einnug', 'einnveg']"
letiblóð,"['dauðyfli', 'letingi']"
hófsóley,['lækjasóley']
fjallaljón,['púma']
púma,['fjallaljón']
fjallageit,['steingeit']
vefdýr,['fjölfrumungar']
mágur,['tengdabróðir']
fastastjarna,['sólstjarna']
brennisóley,['sóley']
sóley,['brennisóley']
hljómsveit,['grúppa']
góða kvöldið,['gott kvöld']
gott kvöld,['góða kvöldið']
kvenmaður,['kona']
lyfjabúð,['apótek']
hvirfilpunktur,"['himinhvirfill', 'hápunktur himins']"
veikindi,['sjúkdómur']
himintungl,['himinhnöttur']
himinhnöttur,['himintungl']
bláþyrill,"['ísfugl', 'kóngsfiskari']"
ísbjörn,['hvítabjörn']
ísskápur,['kælir kk']
varmi,['hiti']
tryggð,['trygglyndi']
snjóflygsa,['snjókorn']
snjókorn,['snjóflygsa']
býsvelgur,['býæta']
tannpína,['tannverkur']
rangeygð,['skjálgi']
l.,['lo']
no.,['n']
geðlægð,"['geðdeyfð', 'depra']"
platanviður,['garðaplatan']
Frón,"['Ísland', 'Snæland fornt']"
Bogamaðurinn,['Bogmaðurinn']
hjartastilling,['hjartarafstuð']
jarðarber,"['skógarjarðarber', 'villijarðarber']"
tárast,['tárfella']
tárfella,['tárast']
Tunglið,['Máninn']
Máninn,['Tunglið']
fálki,"['valur', 'veiðifálki']"
internet,"['formlegt, lítið notað alnetið']"
pólstjarna,"['Norðurstjarnan', 'Pólstjarnan']"
Pólstjarnan,['Norðurstjarnan']
Norðurstjarnan,['Pólstjarnan']
nýstirni,['skæra']
svefnleysi,['andvaka']
hinsta smurning,['síðasta smurning']
síðasta smurning,['hinsta smurning']
klukkutími,['klukkustund']
drottinn,['fornt dróttinn']
kóngur,['konungur']
þolinmæði,['þreyja']
stöðuvatn,['vatn']
kristall,['kristallur']
samóa,['samóska']
augnfró,['hlíðaaugnfró']
birki,"['björk', 'birkitré']"
gleym-mér-ei,['gleymmérei']
krossfífill,['krossgras']
mjaðjurt,"['mjaðurt', 'mjaðurjurt']"
sjöstjarna,['sjöstirni']
glóðargrýta,['glóðarskóf']
grasdrjóli,"['korndrjóli', 'meldrjóli']"
lerkisúlungur,['lerkisveppur']
lerkisveppur,['lerkisúlungur']
trjónutoppa,['keiluhnúfa']
morgunfrú,['gullfífill']
silfurkambur,"['hanakambur', 'skrautkambur']"
skurður,['uppskurður']
náhvalur,['náhveli']
marsvín,['grindhvalur']
sléttbakur,"['íslandssléttbakur', 'hafurketti']"
sandlægja,['gráhvalur']
Bandaríkin,"['Ameríka', 'Bandaríki NorðurAmeríku']"
Litháen,['Lithá']
Mónakó,['Furstadæmið Mónakó']
tungubein,['málbein']
spjaldbein,['spjaldliðir']
setbein,['þjóbein']
endaþarmur,['endagörn']
blöðruhálskirtill,"['hvekkur', 'hvekkkirtill']"
þjóbein,['setbein']
hörpudiskur,"['báruskel', 'hörpuskel']"
kræklingur,"['bláskel', 'krákuskel', 'kráka']"
kuðungur,['snigill']
leikfimi,['fornt leikfimni']
allverulegur,"['allmikill', 'töluverður']"
auðvirðilegur,['auvirðilegur']
eftirminnilegur,['minnisstæður']
gáfulegur,"['vitur', 'gáfaður']"
löglegur,['lögmætur']
glæða,"['kveikja', 'vekja']"
náttúrlegur,['náttúrulegur']
skaðlegur,"['háskalegur', 'hættulegur']"
veraldlegur,['jarðneskur']
ólöglegur,['ólögmætur']
snjótittlingur,"['snjófugl', 'sólskríkja að sumri']"
sólskríkja,['snjótittlingur að vetri']
geimstöð,['geimhöfn']
geimhöfn,['geimstöð']
þumall,"['þumalfingur', 'þumalputti']"
úlfur í sauðargæru,['úlfur undir sauðargæru']
úlfur undir sauðargæru,['úlfur í sauðargæru']
maur,['smámaur']
fálmari,"['þreifari', 'þreifiangi']"
ljósaskipti,"['húm', 'rökkur']"
tígur,['tígrisdýr']
Bereníkuhaddur,['Bernikkuhaddur']
Bernikkuhaddur,['Bereníkuhaddur']
Óríon,"['Risinn', 'Veiðimaðurinn']"
Veiðimaðurinn,"['Óríon', 'Risinn']"
Risinn,"['Óríon', 'Veiðimaðurinn']"
Sextungurinn,['Sextantinn']
Sextantinn,['Sextungurinn']
túnfífill,['fífill']
eldfjallafræði,['jarðeldafræði']
beykitré,['beyki']
beyki,['fornt bæki']
moskítófluga,['stungumý']
rauðbeyki,"['beyki', 'skógarbeyki', 'bóktré', 'brenni']"
aðfangadagskvöld,['aðfangadagskvöld jóla']
ilmur,['angan']
freysfura,['jeffreys fura']
fjallafura,['heiðafura']
heiðafura,['fjallafura']
dýridagur,['Kristlíkamahátíð']
sermi,"['blóðvatn', 'blóðsermi']"
blóðvatn,"['sermi', 'blóðsermi']"
blóðkorn,['blóðfruma']
rautt blóðkorn,['rauðkorn']
hvítt blóðkorn,['hvítkorn']
