word,synonyms
ابتدع,['اِبْتَكَرَ']
ابتدر,"['عاجَلَ', 'سارَع']"
بيئة,"['مُحِيط', 'حَالَة', 'هَيئَة']"
نماء,"['أَمَرَة', 'أَمْر', 'زِيَادَة']"
ناهي,"['زَاجِر', 'مَانِع', 'كَافّ']"
دجا,['أظْلَمَ']
فطور,['اِصْطِبَاح']
ابتده,['اِرْتَجَلَ']
بهيم-من اللّيل-,['مُظْلِم']
أنض(اللحم),['لَم يَنْضُج']
انخفض,"['سَفَلَ', 'اِنْحَطَّ', 'دَنُؤَ']"
انهباط,"['نَقْص', 'اِنْحِطَاط']"
جماعات,['زُمَر']
دفق,['اِنْصَبَّ']
أبد,"['قِدَم', 'دَّهْر', 'دَّيْمُومة']"
انقشّ(القوم),"['تَفَرَّقَ', 'اِنْطَلَقَ', 'أَسْرَعَ']"
استسلم,"['اِنْقَاذ', 'خَضَعَ']"
إخاء,['مُؤالَفَة']
أشعل(ها),['أَوْهَجَالنَّارَ']
عطش(عطشا شديدا),"['آمَ', 'ظَمِئ']"
رّثّ,"['بَاذّ', 'سَيِّئالحَال']"
خاصّ,['خُصُوصِيّ']
بجدة,['أَهْل']
شديد-السّواد-,['حَالِك']
متغيّر,"['آجِن', 'فاسِد']"
بدأة,['بِدَايَة']
ذروة,['أَعْلَى']
جشّة,['شِدّة الصَوْت']
خلع(ه),['نَزَعَه']
استمهال,"['اِسْتِبْطاء', 'اِسْتِئْخَار']"
انقشع(القوم),['تَفَرَّقَوا']
ماجن,"['خَلِيع', 'مُتَهَتِّك']"
اجتماع,"['تَوَاصُل', 'اِتِّفَاق']"
تشعّب,['تَفَرَّعَ']
تشعّث,"['اِنْتِفَاش', 'تَفَرُّق']"
إكفاح,['لَجْم']
عظيم(البطن),['أَكْرَش']
إثراء,"['إِغْنَاء', 'كِفَايَة']"
ليّن(ها),"['بَرَسَالأَرِضَ', 'سَهَّلَها']"
أكزم,['اِنْقَبَضَ']
كرّه,"['بَغَّضَ', 'مَقَّتَ']"
سحب (من غمده),['أَصْلَتَ  السَيْفَ']
قضاء(على المرء ونحوه),"['إِمَاتَة', 'قَتْل']"
ضيق-العين-,"['خَزَر', 'نَظَر']"
اهتم-بالأمر-,"['عُنِيَبِهِ', 'اِكْتِرَثَلَهُ']"
نفي(ها),"['تَبْرِئَةمن التهمة', 'تَخْلِيصمِنْها']"
إتقان,"['تَأَنُق', 'تَحَسُّن', 'إِحْكَام']"
تّأخير,"['إِرْجَاء', 'تَّأجيل']"
تكرّي,['نَوْم']
تكعكع,['تَرَاجُع']
تكرّم,['جَادَ']
