word,synonyms
богатство,['избыток']
богатый,['зажиточный']
богатырь,"['великан', 'сильный']"
богобоязненный,['лицемер']
богомольня,['божий дом']
богослужение,"['молитва', 'священнодействие']"
богохульство,"['кощунство', 'святотатство']"
бодрый,"['сильный', 'здравый']"
боец,['военнослужащий']
божественный,"['священный', 'благочестивый']"
божиться,['клясться']
бой,"['борьба', 'драка', 'столкновение']"
бойкий,['вялый']
бок-о-бок,"['близко', 'почти']"
болван,['глупый']
болезненный,['слабый']
болезнь,['здоровье']
болеть,['заботиться']
болото,"['топь', 'топкое место', 'трясина', 'грязь', 'лужа']"
болтать,"['врать', 'говорить', 'беседовать']"
болтливость,['болтовня']
болтливый,['молчаливый']
болтовня,['разговор']
боль,"['болезнь', 'неприятность']"
больница,"['госпиталь', 'лазарет', 'лечебница', 'амбулатория', 'клиника']"
больной,['слабый']
большинство,['часть']
большой,"['безграничный', 'обширный']"
бор,"['сад', 'сквер']"
бормотать,['высказывать']
бороться,"['враждовать', 'равняться', 'спорить']"
борьба,"['драка', 'битва', 'столкновение', 'спор']"
боязливый,['трусливый']
боязнь,['тревога']
бояться,"['беспокоиться', 'боязнь', 'испугаться', 'тревожиться']"
бравировать,"['важничать', 'хвастать', 'притворяться']"
бравый,['смелый']
брак,['жениться']
брак,"['худой', 'старый']"
браковать,['бесславить']
бранить,"['выговаривать', 'упрекать']"
бранчивый,['сварливый']
брань,"['битва', 'ссора']"
братство,['общество']
брать,['извлекать']
брачный,"['супружеский', 'марьяжный', 'матримониальный']"
бревно,['дерево']
брезгать,['пренебрегать']
бремя,['успокоиться']
бренный,['тленный']
брешь,['отверстие']
бродить,['ходить']
бродяга,['бездомный']
бродяжничать,['бродить']
бросать,"['переставать', 'стрелять']"
брус,['дерево']
брызгать,['течь']
брюзжать,['бранить']
брюхо,"['живот', 'пузо', 'утроба', 'чрево']"
будировать,"['дуться', 'выражать неудовольствие', 'надувать губы']"
будить,['возбуждать']
будто,['разве']
будущий,"['судьба', 'преемник']"
буйный,"['забиячливый', 'мятежный', 'своенравный']"
буйствовать,"['буянить', 'бушевать', 'бурлить', 'беситься', 'бесноваться', 'озорничать', 'неистовствовать', 'свирепствовать', 'шуметь', 'скандалить', 'дебоширить', 'грубиянить', 'забиячить', 'безобразничать', 'безумствовать']"
буква,['знак']
буквально,['точно']
булочник,['хлебодар']
бумага,['документ']
бумагомарака,"['способный', 'гений']"
бумагомаратель,"['способный', 'гений']"
бунт,['связка']
бунтовать,"['возмущаться', 'восставать', 'волноваться', 'мятежничать', 'крамольничать', 'подниматься', 'противиться']"
бунтовщик,"['бунтарь', 'заговорщик', 'инсургент', 'крамольник', 'повстанец', 'революционер']"
буржуа,"['джентльмен', 'барин', 'рыцарь']"
бурлак,"['служащий', 'раб']"
бурливый,"['блажной', 'мятежный', 'шалун']"
бурный,"['блажной', 'мятежный', 'шалун']"
буря,"['пассаты', 'самум', 'сирокко', 'смерч', 'тайфун', 'ураган', 'циклон', 'шторм', 'аквилон', 'борей', 'зефир']"
буянить,"['буйствовать', 'бушевать', 'бурлить', 'беситься', 'бесноваться', 'озорничать', 'неистовствовать', 'свирепствовать', 'шуметь', 'скандалить', 'дебоширить', 'грубиянить', 'забиячить', 'безобразничать', 'безумствовать']"
бывалый,['опытный']
былой,"['прежний', 'старый']"
быль,['случай']
быстро,['скоро']
быстрота,"['скорость', 'живость', 'бойкость', 'резвость', 'поспешность', 'проворство']"
быстрый,"['бойкий', 'скорый']"
бытие,"['жизнь', 'присутствие']"
быть,"['казаться', 'становиться', 'являться', 'присутствие']"
в течение,"['в продолжение', 'во время', 'в бытность', 'в', 'во', 'при']"
в,['в течение']
важничать,"['рисоваться', 'гордиться']"
важность,['достоинство']
важный,"['главный', 'величавый', 'влиятельный']"
вакантный,['пустой']
валандаться,['бездействовать']
валить,"['бросать', 'низлагать']"
валиться,['падать']
варвар,['образованный']
вариант,"['вариация', 'видоизменение', 'разновидность', 'разночтение']"
варить,['кипятить']
вверять,['передавать']
вдоволь,['довольно']
вдохновение,['внушение']
вдохновлять,['учить']
вдруг,"['беспричинно', 'неожиданно', 'скоро', 'сразу']"
вежливый,"['грубый', 'невежа', 'неблаговоспитанный']"
везде,['нигде']
век,"['эра', 'дата']"
веление,['правило']
велеть,['запрещать']
великан,['карлик']
великий,"['большой', 'знаменитый']"
великодушный,"['бескорыстный', 'честный', 'дворянин']"
великолепный,"['величавый', 'красивый', 'торжественный']"
величавый,"['высокопарный', 'неестественный', 'стройный']"
величать,"['льстить', 'рукоплескать']"
величина,['количество']
вельможа,"['знать', 'аристократ']"
веник,"['половая щетка', 'швабра']"
вера,['надежда']
вербовать,"['собирать', 'привлекать']"
веревка,['шнур']
вереница,['стадо']
верзила,['рослый']
верить,['надеяться']
верность,['вероломство']
верный,"['настоящий', 'справедливый', 'точный']"
вероломство,"['измена', 'предательство', 'неверность']"
вероятно,['кажется']
вертеп,['убежище']
вертеть,"['перекатывать', 'перекладывать']"
вертеться,['избегать']
вертлявый,"['блажной', 'мятежный', 'шалун']"
верх,"['апогей', 'вершина', 'высшая степень', 'высшая точка', 'зенит', 'кульминационный пункт', 'геркулесовы столбы', 'крайность', 'предел', 'максимум']"
верхоглядничать,"['углубляться', 'думать']"
вершина,"['основание', 'низ', 'подошва', 'подножие']"
вес,['важность']
веселить,"['увеселять', 'радовать', 'развлекать', 'смешить', 'забавлять', 'тешить', 'потешать', 'утешать', 'услаждать', 'занимать']"
веселиться,['пировать']
веселый,['шутливый']
веселье,['печаль']
веский,"['важный', 'тяжелый']"
вести,['обращаться']
вестник,['предсказатель']
весть,['известие']
весь,"['вместе', 'совершенно', 'целый']"
ветвь,"['побег', 'росток', 'отпрыск', 'отрасль']"
ветер,"['пассаты', 'самум', 'сирокко', 'смерч', 'тайфун', 'ураган', 'циклон', 'шторм', 'аквилон', 'борей', 'зефир']"
ветеран,['возраст']
ветреный,['легкомысленный']
ветхий,['возраст']
веха,['дерево']
вечер,"['время', 'пир']"
вечеринка,"['обед', 'ужин', 'пикник', 'бал', 'банкет', 'раут']"
вечно,"['временно', 'на время']"
вечный,['постоянный']
вещество,['суть']
