error,correction
(h|H)ibou,\1iboux
(h|H)uiti[ée]me(ment),\1uitième\2
(h|H)[oô]mm?age(s?),\1ommage\2
([hH]|[dD]ésh)onn?eur(s?),\1onneur\2
([hH]|[dD]ésh)onnor(er|ée?s?|ai[st]|a|aient),\1onor\2
(h|H)opita(l|ux),\1ôpita\2
(h|H)orm,\1ormis
(h|H)otel(lerie?|ier?|ière?|s?),\1ôtel\2
(h|H)uit,\1uit
(h|H)umm?ann?itt?ée?(s?),\1umanité\2
(h|H)umm?idd?itt?ée?(s?),\1umidité\2
(H|h)[iy]poth?[eéèêë]nus,\1ypoténuse
(I|i)ç,\1ci
(I|i)mmaginair,\1maginaire
(I|i)mm?[eéè]diat(ement|e),\1mmédiat\2
(I|i)mm?[eéè]diatemm?en,\1mmédiatement
(I|i)mm?en[sc](es?|ément),\1mmens\2
(i|I)mm?en[sc]itt?ée?(s?),\1mmensité\2
(I|i)mm?er[st]ion(s?),\1mmersion\2
(I|i)mm?ortall?i[sc](es?|er|a[in]t|ée?s?|ai?s?|aient),\1mmortalis\2
(i|I)mm?ortel(s?),\1mmortel\2
(I|i)[mn]pp?ecc?able(s|ment),\1mpeccable\2
(I|i)[mn]pp?éd[ae]nce(s?),\1mpédance\2
(I|i)[mn]pp?r[éeèê][cs]s?ionn?(abilités?|ables?|ante?s?|es?|er|ée?s?|ai?s?|ait|aient|ismes?|istes?),\1mpressionn\2
(i|I)nactivitt?ée?(s?),\1nactivité\2
(I|i)nn?att?endu(e|es|),\1nattendu\2
(I|i)ncon?v[éeè]ni[ae]nt(s?),\1nconvénient\2
(I|i)nd[eé]p[ae]nd[ae]mm?en,\1ndépendamment
(i|I)ndemnitt?ée?(s?),\1ndemnité\2
(i|I)nf[éèeê]rr?iorr?itt?ée?(s?),\1nfériorité\2
(i|I)nflection(s?),\1nflexion\2
(I|i)nh?[eéè]rr?[ea]ns?((?:t|te|ce)s?),\1nhéren\2
(I|i)nn?itiall?(e|é|ement),\1nitial\2
(I|i)nn?on?cen(te?s?|ces?|ter|tée?s?|ai?s?|ait|aient),\1nnocen\2
(I|i)nov(ante?s?|er|ée?s?|ai?s?|ait|aient|ateurs?|atrices?|ations?),\1nnov\2
(I|i)nn?h?ond(ations?|ée?s?|ai?s?|a[in]t|aient|er?|ables?),\1nond\2
(I|i)nten(?:ss?|t)ionn?el(s?|les?|lement),\1ntentionnel\2
(I|i|Dési|dési)nt[eé]rr?[éeêè](ssements?|sser|ssée?s?|ssante?s?|ai?s?|ait|ent),\1ntére\2
(I|i)nt[eé]rr?[éeêè]t(s?),\1ntérêt\2
(I|i)nt[eéèêë]rna(?:c|t|ss?)ionn?a(l|ux|lités?|lement|lisations?|liser|lisée?s?|lismes?),\1nternationa\2
(i|I)nt[eéèêë]rvall?e(s?),\1ntervalle\2
(i|I)ntr[eèéêë]pidit?ée?(s?),\1ntrépidité\2
(I|i)nfractu,\1nfarctus
(I|i)nn?on?[cç]e(nce|mment|ntes?|nter|ntés?|nta|ntai[st]|ntaient|nts?),\1nnoce\2
(i|I)nvin[cs]ibb?ill?itt?ée?(s?),\1nvincibilité\2
(I|i)r?r[eéèêë]+l(s?),\1rréel\2
(I|i)sraëlien(ne)?(s?),\1sraélien\2\3
(I|i)sraël,\1sraélo
(j|J)amia,\1amais
(j|J)oujou,\1oujoux
([jJ])usqu(['’]) *[áaà],\1usqu\2à
([jJ])usqu´? *[áaà],\1usqu\'à
([jJ])eu [Vv]id[ée]os,\1eu vidéo
([jJ])eux [Vv]id[ée]o(s?),\1eux vidéo\2
keyn[eé]siann?ism,keynésianisme
([kK])enyan(s?),\1ényan\2
([kK])enyan?ne(s?),\1ényane\2
(l|L)anguage(s?),\1angage\2
(l|L)attitude(s?),\1atitude\2
([lL])azer(s?),\1aser\2
(l|L)aquell?es,\1aquelle
(l|L)[eéèê][jg][eéèê]rr?ett?ée?(s?),\1égèreté\2
(l|L)epidoptère(s?),\1épidoptère\2
(l|L)esque(l|lle),\1esque\2s
(l|L)eque(l|lle),\1esque\2s
(l|L)ibb?[eéèê]rtée?(s?),\1iberté\2
(l|L)itérature(s?),\1ittérature\2
(l|L)occ?all?itt?ée?(s?),\1ocalité\2
(l|L)oes,\1œss
(l|L)oh?gg?h?o(h?rr?|rh)ée,\1ogorrhée
(l|L)ongu?eur(s?),\1ongueur\2
(l|L)orsqu[’']aucu,\1orsque aucun
(l|L)u[iy]re,\1uire
(l|L)ycé(s?),\1ycée\2
(M|m)aintenn?[ae]n(s?|d?|t?s?),\1aintenan\2
(m|M)ajorr?itt?ée?(s?),\1ajorité\2
(M|m)algr[éè](s?),\1algré
(M|m)alh?eu?reu?(sement|x|se),\1alheureu\2
(M|m)all?ett?e(s?),\1allette\2
(m|M)anifestion(s?),\1anifestation\2
(m|M)anoeuvre(s?|r?),\1anœuvre\2
marri(er|ée?s?),mari\1
([mMpP])att?ernitt?ée?(s?),\1aternité\2
(m|M)att?h?[éeèê]mm?att?h?ique(s?),\1athématique\2
(m|M)att?urr?itt?ée?(s?),\1aturité\2
([mM]ax|[mM]in)ima,\1ima
(m|M)[eéèê]chan[cs]ett?ée?(s?),\1échanceté\2
(m|M)[eé]diterr?ann?ée,Méditerranée
m[eé]diterr?ann?ée?n(s?|ne?s?),méditerranéen\1
(m|M)[eéè]ga(lo)?p[oô]ll?e(s?),\1éga\2pole\3
([mMtT]oi|[eE]ux|[lL]ui|[nNvN]ous|[eE]lles?) m[êe]me(s?),\1-même\2
(m|M)emm?e(s?),\1ême\2
(m|M)[éeèêë]tt?h?od(es?|iques?|iquement),\1éthod\2
(m|M)[eèéêë]t[eèéêë]orologi(e?|ste?|que?)(s?),\1étéorologi\2\3
([aA]d|[cC]om|[cC]ompro|[dD]é|[éÉoO]|[eE]ntre|[pP]er|[pP]ro|[rR]éad|[rR]e[rR]etrans|[sS]ou|[tT]rans)?me(tant|tre|trait|traient|te(s?)|tent|tiez|tions|tra(s?)|trai(s?)|tront),\1met\2
(m|M)illie,\1ilieu
(m|M)illitan(t(s?)|te(s?)|tisme|tiste(s?)),\1ilitan\2
([mM]|[aA]ntim|[dD]ém)illita(ires?|risée?s?|irement|risation|risme),\1ilita\2
(M|m)ill?i?ardi?aire(s?),\1illiardaire\2
(M|m)ill?imm?[éeè]tre(s?),\1illimètre\2
(M|m)ill?i?onn?i?aire(s?),\1illionnaire\2
(m|M)imimum(s),\1inimum\2
(m|M)insitre(s),\1inistre\2
(m|M)inn?orr?itt?ée?(s?),\1inorité\2
(M|m)irroir(s?),\1iroir\2
(M|m)is(e?s?) ,\1is\2 à
mm h,mmHg
(m|M)odel,\1odèle
(m|M)oeur,\1œurs
(m|M)oitt?iée?(s?),\1oitié\2
(m|M)onarchie de (J|j)uille,\1onarchie de Juillet
(M|m)onn?ol[yi]th?e(s?),\1onolithe\2
(M|m)ourri,\1ourir
[mM]oyen[ -][aAâÂäÄàÀ]g,Moyen Âge
(m|M)ulti[ -]?plates?(-?)forme(s?),\1ultiplate\2forme\3
(M|m)ünich(oise?s?),\1unich\2
(m|M)unn?icipp?all?itt?ée?(s?),\1unicipalité\2
(n|N)a[ïîi]vett?ée?(s?),\1aïveté\2
(n|N)arr?a[ct]t?(eurs?|rices?|ions?|ifs?|ives?|ivement),\1arrat\2
(n|N)a[ct]ionn?all?itt?ée?(s?),\1ationalité\2
(n|N)avigateur(s?) +(i|I)nternet,\1avigateur\2 Web
"(n|N)[ée]a[mn]{1,2}oin(s?)",\1éanmoins
(n|N)[éeè](c|ss?)[eéè](ss?|c)airr?(e(s?)|ement(s?)),\1écessair\4
(n|N)égationis(m|t)e(s?),\1égationnis\2e\3
(n|N)eutrall?itt?ée?(s?),\1eutralité\2
(n|N)euvi[ée]me(ment),\1euvième\2
(n|N)euve,\1eveu
(n|N)eu?veu,\1eveux
(n|N)oeud(s?),\1œud\2
(n|N)ommination(s?),\1omination\2
([nN]|[aA]n|[pP]aran)ormall(e|ement|ité(s?)|ien(s?)|isateur(s)|isatrice(s?)|isation(s?)|iser|isée?(s?)|isai[ts]|isaient),\1ormal\2
(n|N)ott?[ae]mm?[ae]n,\1otamment
(n|N)our(ie?|issante?s?|ir|itures?|ices?|iciers?|icières?|issage|isseurs?|isseuses?|issons?|i[ts]|issent|issai[st]),\1ourr\2
(n|N)ouv[eè]le(s?),\1ouvelle\2
(o|O)bscurr?itt?ée?(s?),\1bscurité\2
(o|O)btien,\1btient
(o|O)cc?asionn?(er|ée?s?|ai[st]|aient|ellement|els?|elles?),\1ccasionn\2
(o|O|préo|Préo|ino|Ino)cc?upp?(er?|ée?s?|ai[st]|aient|a|ant(e?|s?|tes?)|ations?|ationnel(le?|les?|s?)),\1ccup\2
(o|O)cc?urr?[ae]n(c|ss?)e(s?),\1ccurrence\3
(oe|œ|oE)u?cc?umm?[eéèêë]nn?i(s[mt]es?|ques?),œcuméni\2
(Oe|Œ|OE)u?cc?umm?[eéèêë]nn?i(s[mt]es?|ques?),Œcuméni\2
(oe|œ|oE)dd?[eéèêë]mm?e(s?),œdème\2
(Oe|Œ|OE)dd?[eéèêë]mm?e(s?),Œdème\2
O[Ee]u?dip,Œdipe
(pré|post)?oeu?dip,\1œdip
O[Ee]il,Œil
oeil,œil
(oe|oE|œ)u?nn?oll?og([iu]es?|iques?),œnolog\2
(Oe|OE|Œ)u?nn?oll?og([iu]es?|iques?),Œnolog\2
(oe|oE|œ)u?[sz]ophage(s?),œsophage\2
(Oe|OE|Œ)u?[sz]ophage(s?),Œsophage\2
(oe|oE|œ)u?strog[eéèêë]nn?e(s?),œstrogène\2
(Oe|OE|Œ)u?strog[eéèêë]nn?e(s?),Œstrogène\2
oeuvr([a-z]),œuvr\1
(OE|Oe)uvr([a-z]),Œuvr\2
(OE|Oe)uf(s?),Œuf\2
oeuf(s?),œuf\1
(o|O)ff?[ae]n[cs]i(fs?|ves?|vement),\1ffensi\2
(o|O)ff?i(?:c|ss?)ie(ls?|lles?|ux|uses?|rs?),\1fficie\2
(o|O)nze,\1nze
(o|O|ino|Ino)pp?[éeè]rr?a[cst]s?ionn?(els?|elles?),\1pérationn\2
(o|O)pp?r?obr,\1pprobre
(p|P)arr?aff?inn?(es?|ée?s?|ages?),\1araffin\2
([pP]|[aA]pp)arr?aiss?ants,\1araissant
([pP]|[aA]ntip)arr?all?[eéè]ll?e(s?|ment?),\1arallèle\2
([Pp]ara)ll?l[eéêè]ll?ogramm?e(s?),\1llélogramme\2
(p|P)arcou,\1arcours
(p|P)arr?[ae]nth?[èéeêë]se(s?),\1arenthèse\2
aprfois,parfois
(p|P)armi[es],\1armi
(p|P)arr?ainn?(s?|age|er?|ée?s?|a|ai[st]?|aient),\1arrain\2
(p|P)ar(c|t|ss?)ialitt?ée?(s?),\1artialité\3
(p|P)articc?ull?arr?itt?ée?(s?),\1articularité\2
(p|P)articc?ull?(ariser|arismes?|arités?|es?|iers?|ières?|ièrement),\1articul\2
(p|P)articc?ull?i[éeè]re(s?|ment),\1articulière\2
(p|P)artisant(s?),\1artisan\2
(p|P)auvrett?ée?(s?),\1auvreté\2
p[eéèêë]ll?err?i(ne?s?|nages?),pèleri\1
(p|P)ersanne(s?),\1ersane\2
(p|P)ersonn?(ages?|alisations?|aliser|alisée?s?|alisas?|alisai[ts]|alisaient|alisme|alistes?|el?s?|elles?|ellement|ifications?|ifiée?s?|ifier|ifiait),\1ersonn\2
(p|P)ersonn?all?itée?(s?),\1ersonnalité\2
(p|P)h[iy]s[iy]que(s?),\1hysique\2
(p|P)i[eé]ce(s?),\1ièce\2
"(p|P)l[éeè]bi[sc]{1,2}itt?(es?|ée?s?|er|ais?|ait|aient|as?|ant|aires?)",\1lébiscit\2
(p|P)l[uû]s?part?s,\1lupart
(p|P)lusieur[te]?s,\1lusieurs
(p|P)o[êëeé]me(s?),\1oème\2
(p|P)oltique(s?),\1olitique\2
(p|P)oll?onn?ais(e?s?),\1olonais\2
(p|P)olution(s?),\1ollution\2
(p|P)ortugu?ais(e?s?),\1ortugais\2
(p|P)oss?[éeè]d(ante?s?|ée?s?|er),\1osséd\2
(p|P)oss?[éeè]de(n?t?),\1ossède\2
(p|P)oss?ibill?itée?(s?),\1ossibilité\2
(p|P)ost[éèeê]rr?itt?ée?(s?),\1ostérité\2
(p|P)our?(?:c|qu?)oi(s?),\1ourquoi
(p|P)lusieure,\1lusieurs
(p|P)luto,\1lutôt
(p|P)oi,\1oids
(p|P)ratiqu[ae]mm?en,\1ratiquement
"(p|P)r[eéè][cs]{1,2}[eéè]d(a|e)nt(e?s?(?<![pP]récèdent))",\1récéd\2nt\3
"(p|P)r[eéè][cs]{1,2}[éeè]d[aeé]mm?en",\1récédemment
(p|P)récept(s),\1récepte\2
(p|P)r[éeè]sen,\1résent
(p|P)r[éêe]sid(a|e)nt(s?),\1résid\2nt\3
(p|P)remm?i[éeè]r?(res?|rement),\1remiè\2
(app|comp|dép|entrep|m?ép|p|réapp|rep|surp)r[éeêè]nn?(es?|ent),\1renn\2
(p|P)r[éeêè]s(?:qu|k)es,\1resque
(p|P)r[éeêè]t(er?|ée?s?|ai[st]),\1rêt\2
(p|P)rin[sc]ipp?all?emm?[ae]n,\1rincipalement
(p|P)rocé,\1rocès
(p|P)roff?ess?ionn?e(ls?|lles?|llement),\1rofessionne\2
(P|p)r?or?gramm?(ai?s?|es?|ée?s?|er|ations?|eurs?|euses?|atiques?|ant),\1rogramm\2
(p|P)rogr[eéè]s,\1rogrès
(p|P)roprett?ée?(s?),\1ropreté\2
(p|P)rosp[eéè]rr?itt?ée?(s?),\1rospérité\2
(p|P)roximm?itt?ée?(s?),\1roximité\2
(p|P)uiss?amm?[ae]nts,\1uissamment
(q|Q)u?all?itt?ée?(s?),\1ualité\2
(q|Q)u?antitt?ée?(s?),\1uantité\2
(Q|q)uarante,\1uarante
(Q|q)uatorze,\1uatorze
(Q|q)uatre,\1uatre
(Q|q)uatri[ée]me(ment),\1uatrième\2
(q|Q)uébecois(es?),\1uébécois\2
(q|Q)uelque soit l,\1uel que soit le
(q|Q)uelque soit ([ls]a),\1uelle que soit \2
(Q|q)uestionn?airr?e(s?),\1uestionnaire\2
(Q|q)uinze,\1uinze
(Q|q)uitt?an[cs]e(s?),\1uittance\2
(r|R)accont((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant|ables?|ars?),\1acont\2
(r|R)acc?our[cs](ie?s?|ir|issi?ons|issi?ez|issent|issant),\1accourc\2
(r|R)aff?inn?(er|ée?s?|ant|antes?|es?|i?ons|i?ez|ent|ai?s?|ait|aient|erai?s?|erait|eraient|eries?|ages?),\1affin\2
(r|R)ancoeur(s?),\1ancœur\2
(r|R)app?idemm?[ae]n,\1apidement
(r|R)arr?ett?ée?(s?),\1areté\2
([rR]|[iI]rr)ationn?(ellement|els?|elles?|ements?|er|ée?s?|a|ai[st]|aient),\1ationn\2
([rR]|[iI]rr)ationn?alit,\1ationalité
([rR]|[iI]rr)[ée]alitt?ée?(s?),\1éalité\2
(r|R)ecc?ord?(s|mans?|men),\1ecord\2
(r|R)ecu(e?s?),\1eçu\2
(r|R)[éeè]cc?urr?[ae]n(te?|ce),\1écurren\2
"(r|R)[éeè][cs]{1,2}[aeéè]mm?en",\1écemment
(r|R)e(?:cc?|ss?)en(?:cc?|ss?)((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant|ement),\1ecens\2
(r|R)[eé]{2}d,\1ééd.
(r|R)[eé]{2}ll?emm?en,\1éellement
(r|R)éflection(s?),\1éflexion\2
(r|R)efut?s,\1efus
(r|R)[eé]gl(ements?|es?),\1ègl\2
(r|R)[eè]gl(ables?|ages?|ée?s?|e[rt]s?|ettes?|eurs?|euses?|isse?|os?|oirs?|ures?),\1égl\2
([iI]mpr|[rR])[eé]gne(s|nt),\1ègne\2
([rR]|[iI]rr)[eéè]gull?i[eéè]rr?emm?[ae]n,\1égulièrement
(r|R)enouvell(er|ée?s?|a|ai[st]|aient),\1enouvel\2
(r|R)enouvell?emm?ent(s?),\1enouvellement\2
(r|R)epproch((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant),\1eproch\2
([rR]|[iI]rr)eponsabl,\1esponsable
(r|R)([éeèê])sonn?ance(s?),\1\2sonance\3
([rR]|[iI]rr)esponsabb?ill?itt?ée?(s?),\1esponsabilité\2
"(r|R)(?:e|é|è)[sc]{1,2}u[sc]{1,2}it((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant)",\1essuscit\2
(r|R)[eéè]ss?urr?ection(s?),\1ésurrection\2
(r|R)h?yth?m(es?|iques?|ée?s?),\1ythm\2
(s|S)agg?acitt?ée?(s?),\1agacité\2
(s|S)all?e?tt?ée?(s?),\1aleté\2
(s|S)a(ss?|c|t)i[éeè]tt?ée?(s?),\1atiété\3
(s|S)c?[éè]nariis,\1cénarios
([sS])c[eé]ne(s?),\1cène\2
(s|S)c?h[éeè]mat?(s?),\1chéma\2
(s|S)ien(ces?|tifiques?|tifiquement|tis[tm]es?),\1cien\2
(s|S)cult(eur|euse|rice)(s?),\1culpt\2\3
(s|S)[ée]chemen,\1èchement
(s|S)[e]ch(er|eresses?|eries?),\1éch\2
(s|S)[èe]ch(eurs?|euses?|oirs?),\1éch\2
(s|S)écc?urr?itt?ée?(s?),\1écurité\2
(s|S)ei[zs]es,\1eize
([sS]|[pP]rés)[éeè]lection?(s?|n(?:(?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant|able|eu(?:r|se)s?)),\1élection\2
(s|S)en[cs]ibb?ill?itt?ée?(s?),\1ensibilité\2
(s|S)[eéèê]pp?arr?[eéèê]mm?en,\1éparément
(s|S)epti[ée]me(ment),\1eptième\2
(s|S)implicitt?ée?(s?),\1implicité\2
(s|S)imm?ultann?[éeè]mm?[ae]n,\1imultanément
(s|S)ixi[ée]me(ment),\1ixième\2
(s|S)oci[eéêè]tt?[eéêè]e?(s?),\1ociété\2
(s|S)oixante,\1oixante
(s|S)oeur(s?),\1œur\2
(s|S)oll?icitt?(er|ée?s?|ant|es?|i?ons|i?ez|ent|ai?s?|ait|aient|erai?s?|erait|eri?ons|eri?ez|eront|eraient|ations?|udes?|eurs?|euses?),\1ollicit\2
(s|S)oll?ution?(s?|n(?:(?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant)),\1olution\2
(s|S)ous[ -]jacent(e?s?),\1ous-jacent\2
(s|S)outt?err?ain(s?),\1outerrain\2
(s|S)ouv[ae]nt?s,\1ouvent
(s|S)p(?!ecia)[eéè][cs]iall?(es?|ement|ités?|is(?:(?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant|ations?|tes?)),\1pécial\2
(s|S)péciall?itt?ée?(s?),\1pécialité\2
(s|S)p[eèé]ctacle(s?),\1pectacle\2
(s|S)tatu[st]?(?:-| +)qu,\1tatu quo
(s|S)tatu,\1tatut
(s|S)térr?ill?itt?ée?(s?),\1térilité\2
(s|S)to(c|qu)(ages?|ée?s?|er),\1tock\3
(S|s)t(oe|œ)(ch|qu)iom[eé]tri(e|que),\1tœchiométri\4
([sS]u|[oO])bjectivitt?ée?(s?),\1bjectivité\2
([sS]|[iI]ns)ucc[eé],\1uccès
(s|S)ucc?int(e?s?|ement),\1uccinct\2
(s|S)ucc?ursall?e(s?),\1uccursale\2
([sS]|[iI]ns)uff?is[ae]mm?[ea]nts,\1uffisamment
([sS]|[iI]ns|[aA]utos)ufisant(e?s?),\1uffisant\2
([sS]|[iI]ns|[aA]utos)ufisance(s?),\1uffisance\2
(s|S)upp?érr?iorr?itt?ée?(s?),\1upériorité\2
(s|S)upp?ll?[eéè]mm?ent(s?|aires?),\1upplément\2
(s|S)upp?rimm?((?:er)?(?:a(?:s|i(?:s|t|ent)?)?|i?(?:ez|ons))|ass(?:es?|iez|ions)|â(?:mes|t|tes)|(?:èr|ass)?ent|(?:ée?|e)s?|er(?:ont)?|ant|able),\1upprim\2
(s|S)upp?ress?ion(s?),\1uppression\2
(s|S)uport,\1upport
(s|S)u(c[sc]*|s*|sc[sc]+)eptib(les?|ilités?),\1usceptib\3
(s|S)u[èe]dois(es?),\1uédois\2
(s|S)yndrôme(s?),\1yndrome\2
([sS]|[aA]ntis)ymm?[éeèêë]tri(es?|ques?),\1ymétri\2
(s|S)ymptome(s?),\1ymptôme\2
(s|S)[iy]nth?axe(s?),\1yntaxe\2
(s|S)yst[êe]me(s?),\1ystème\2
(T|t)ch[eéê]que(s),\1chèque\2
(T|t)err?itt?oirr?e(s?),\1erritoire\2
(T|t)h?[éeèê]orr?i(es?|ques?|quement|ciens?|ciennes?|ser|sée?s?|ses?|si?ons|si?ez|sent|sai?s?|sait|saient|serai?s?|serait|seraient|seront|seri?ons|seri?ez),\1héori\2
(t|T)imm?idd?itt?ée?(s?),\1imidité\2
(à|À|a[is]|a|ont|avai[st]|avi?ons|avi?ez|avaient|eu|avoir|en|pas) tor,\1 tort
(T|t)otall?emm?en,\1otalement
(t|T)ott?all?itt?ée?(s?),\1otalité\2
(T|t)oujoure?s,\1oujours
(D|d)ans (T|t)ous le,\1ans \2out le 
(T|t)our?tefois,\1outefois
(T|t)raditionn?el(s?|les?|lement?),\1raditionnel\2
traff+ic(s?),trafic\1
(t|T)ranqu?ill?itt?ée?(s?),\1ranquillité\2
(t|T)rave?au(s?|x?),\1ravaux
(T|t)rei[sz]es,\1reize
(T|t)rente,\1rente
(T|t)ré,\1rès
(T|t)roisi[ée]me(ment),\1roisième\2
(T|t)rombonn?e(s?),\1rombone\2
(T|t)r[ou]mp(èt|ett?)e(s?),\1rompette\3
(T|t)roph[éêèëe],\1rophée
(U|u)n esp[èeé]c,\1ne espèce
(u|U)nn?itt?ée?(s?),\1nité\2
(u|U)nn?iversitt?ée?(s?),\1niversité\2
(u|U)tt?ill?,\1til
(v|V)ann?itt?ée?(s?),\1anité\2
(v|V)arr?iétt?ée?(s?),\1ariété\2
(v|V)ell?ourt,\1elours
(v|V)erball?emm?en,\1erbalement
([vV][éo])rr?acitt?ée?(s?),\1racité\2
([vV]|[rR]ev)[éeè]rr?iff?,\1érif
(v|V)[eéèê]rr?itt?ée?(s?),\1érité\2
(V|v)[eéèêë]temm?ent(s?),\1êtement\2
(v|V)ioll?[ae]mm?en,\1iolemment
([vV])ision((?:er)?i?(?:ez|ons)|ée?s?|e(?:u?s(?:es?)?)?|(?:er)?a(?:i(?:ent|s|t))?|er(?:ai|as|ont)?|aires?|(?:èr)?ent|ant),\1isionn\2
(v|V)oeu(x?),\1œu\2
(v|V)(oe|œ)u,\1œux
(v|V)oll?att?ill?itt?ée?(s?),\1olatilité\2
(v|V)oll?ontt?ée?(s?),\1olonté\2
(v|V)oll?ontier(s?),\1olontiers
vrais?sembl[a|e]ble(ment),vraisemblable\1
(v|V)ulgarr?itt?ée?(s?),\1ulgarité\2
(v|V)is[ -][aà][ -]vi,\1is-à-vis
