error,correction
ryton,rhyton
rytme,rythme
sanédrin,sanhédrin
scibbolet,schibboleth
silouette,silhouette
spate,spathe
stétoscope,stéthoscope
sura,surah
térébentine,térébenthine
 taler, thaler
talweg,thalweg
taumaturge,thaumaturge
tébaïde,thébaïde
tériaque,thériaque
trène,thrène
turiféraire,thuriféraire
tuya,thuya
tyrse,thyrse
 ulan, uhlan
warf,wharf
zénit,zénith
(N|n)°([^0-9][^0-9]),\1{{o}}\2
etc(\.\.\.*|…),etc.
"(\,\,)",","
(à\:),à :
"(ad hoc(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(a fortiori(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(a posteriori(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(a priori(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(bis(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(grosso modo(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(ibidem(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(idem(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(in extenso(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(in extremis(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(in fine(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(infra(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(modus vivendi(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(sic(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(statu quo(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
"(vice versa(''')?)(?=[\s,.)]|$)",\'\'\1\'\'
[Aa][bhk]*azi,Abkhazie
[Aa]fgh?ann?ista,Afghanistan
[Aa]ll?bann?i,Albanie
[Aa]llg[eéèêë]ri,Algérie
[Aa]ll?emagn,Allemagne
[Aa]ndorr?,Andorre
[Aa]ngleterr?,Angleterre
[Aa]ngoll?,Angola
[Aa]rm[eéèêë]ni,Arménie
[Aa]ustrall?i,Australie
autrich,Autriche
[aA]d?zz?erba[iï]d?jj?a,Azerbaïdjan
bahama,Bahamas
[bB]ahre[iï],Bahreïn
[lL]e [bB]ahre[iï],Bahreïn
banglades,Bangladesh
[bB][eéèêë]lgiqu,Belgique
[bB][eéèêë]ll?iz,Belize
[bB][eéèêë]n[eéèêë]lu,Benelux
[bB]irmann?i,Birmanie
[bB]oll?ivi,Bolivie
[bB]osnie[ -]et[ -](h|H)[éeèêë]r[sz][éeèêë]gg?ovin,Bosnie-et-Herzégovine
[bB]osnie[ -](h|H)[éeèêë]r[sz][éeèêë]gg?ovin,Bosnie-Herzégovine
[bB]os?ts?wann?,Botswana
[bB]r[eé][sz]i,Brésil
[bB]ulgarr?i,Bulgarie
[bB]urkinn?,Burkina
[bB]urkinn?a[ -](f|F)ass?,Burkina Faso
[Cc]a[mn]bodg,Cambodge
[Cc]amm?err?ou,Cameroun
[Cc]ann?ad,Canada
(C|c)arr?a[iïî]bb?e(s?),\1araïbe\2
ceyla,Ceylan
[Cc]isjordann?ie,Cisjordanie
[Cc]oll?o[mn]bie,Colombie
[Cc]omm?orr?es,Comores
cong,Congo
[CcKk]orr?[eéèêë],Corée
[cC]osta[ -][rR]ic,Costa Rica
[cC][oô]tt?es?[ -]d('|’)[iI]vo[iïî]rr?es,Côte d\1Ivoire
croati,Croatie
[Dd]ann?emm?arc?,Danemark
[Dd]jibb?outt?ie?s,Djibouti
[Dd]omm?inn?iqu,Dominique
[Eeé]coss,Écosse
[Eeé]gypt,Égypte
[EÉ]quatt?eu,Équateur
[EÉeé]mm?irr?at?e?s?[ -][Aa]rr?abb?es?[ -][Uu]nn?is,Émirats arabes unis
[EÉeé]rr?yh?tt?h?r[ée]e,Érythrée
espagn,Espagne
[EÉÈeéè]stonn?i,Estonie
[ÉEeé]tats?(?:-|_| +)[Uu]nis,États-Unis
[Eeé]thiopi,Éthiopie
fidj,Fidji
finland,Finlande
franc,France
gabo,Gabon
gambi,Gambie
géorgi,Géorgie
ghan,Ghana
gibralta,Gibraltar
[gG]rande[ -][bB]retagn,Grande-Bretagne
grèc,Grèce
[gG]r(oe|oë|ø)nlande,Gr\1nland
[Gg]u?att?(e|é)mm?all?,Guat\1mala
[Gg]uinn?ée?[ -][bB]is[seaou],Guinée-Bissau
guyan,Guyana
[hH]aute[ -][vV]olt,Haute-Volta
[hH]o[mn]durr?as,Honduras
[hH]ongrie,Hongrie
[iI]le[ -]de[ -][fF]ranc,Ile-de-France
[îÎ]le[ -]de[ -][fF]ranc,Île-de-France
[iI]ndochinn?,Indochine
i([rs])land,I\1lande
[iI]sra[éeèêë],Israël
itali,Italie
[iI]t?chk[éeèëê]rr?ie,Itchkérie
[jJ]amm?a[iï]qu,Jamaïque
[jJ]ordann?ie,Jordanie
[kK]a[sz]z?ac?h?kh?sta,Kazakhstan
[kK]enn?y,Kenya
[kK]ih?rh?gg?h?i?[sz]i?h?s?ta,Kirghizistan
[kK]irr?ibb?h?att?h?,Kiribati
kos(s?)ov,Kosovo
[kK]oh?w[éeèëê][iîï]th,Koweït
[kK]urdh?isth?a,Kurdistan
lao,Laos
[lL]e[sz]ott?h?,Lesotho
[lL]ett?onn?ie,Lettonie
[lL]ibb?a,Liban
[lL]ibb?(é|e)rr?i,Lib\1ria
[Ll][iy]b[iy],Libye
[Ll]ie?chtens?th?[ae]i?,Liechtenstein
[Ll]itt?uann?ie,Lituanie
luxembour,Luxembourg
maca,Macao
[mM]add?agg?asca,Madagascar
[mM]all?aisi,Malaisie
[mM]all?awie,Malawi
[mM]aldives,Maldives
maro,Maroc
mauric,Maurice
[mM]aurr?itt?ann?ie,Mauritanie
mayott,Mayotte
mexiqu,Mexique
[mM]icronn?[éeèëê]sie,Micronésie
[mM]oldavie,Moldavie
moldov,Moldova
[Mm]ongoll?ie,Mongolie
[Mm]o[mn]t[éeèëê]nn?[éeèëê]gros,Monténégro
[Mm]o[sz][ae][mn]biques,Mozambique
[Mm]ya[mn][mn]a,Myanmar
naur,Nauru
népa,Népal
[nN]icc?arr?ag[uü]?[aä]s,Nicaragua
nige,Niger
nig(é|e)ri,Nig\1ria
[nN]orv[éeèêë]g,Norvège
[nN]ouvell?es?[ -][cC]all[éeèêë]donn?ie,Nouvelle-Calédonie
[nN]ouvell?es?[ -][zZ][éeèêë]ll?[ae]ndes,Nouvelle-Zélande
oma,Oman
[Oo](?:c|ss?)étie,Ossétie
ougand,Ouganda
[oO]u?[sz]b[éeèêë][chk]*is?ts?[ae],Ouzbékistan
(p|P)ac?kista,Pakistan
pala(os|u),Pala
[pP]all?estinn?e,Palestine
[pP]app?ouh?a[sz]ie?[ -][nN]ouvell?e[ -][gG]u?inn?ée,Papouasie-Nouvelle-Guinée
[pP]arr?ag[uü?][aä],Paraguay
[pP]ays[ -][bB]a,Pays-Bas
([Pp])ays[ -][Bb]alte,\1ays baltes
[pP]ays[ -][bB]asqu,Pays basque
[pP][eé]ro,Pérou
(p|P)hill?ipp?inn?(e?)(s?),\1hilippin\2\3
[Pp]oll?ogn,Pologne
[Pp]orto[ -][rR]icc?,Porto Rico
portuga,Portugal
puntlan,Puntland
[Qq]u?ata,Qatar
[Qq]u[eéèêë]be,Québec
